               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049201,             0.16583,           0.0075974,             0.59071,             0.62462,             0.59632,             0.21651,            0.053973,             0.10329,            0.010704,           0.0093369,           0.0093369,           0.0093369
                  37,            0.049322,             0.16192,            0.007502,             0.53746,             0.61014,              0.5607,             0.21315,             0.04876,             0.10805,            0.010152,           0.0092995,           0.0092995,           0.0092995
                  38,            0.047847,             0.16517,           0.0075922,             0.50817,             0.65786,             0.64287,             0.27208,            0.049048,               0.106,            0.010131,           0.0092611,           0.0092611,           0.0092611
                  39,            0.047557,             0.16137,           0.0070539,             0.59027,             0.58781,             0.59787,             0.26856,            0.049314,             0.10281,           0.0098253,           0.0092219,           0.0092219,           0.0092219
                  40,             0.04845,             0.16344,           0.0074523,              0.5442,             0.69721,             0.63772,              0.2196,            0.052368,              0.1007,           0.0096996,           0.0091817,           0.0091817,           0.0091817
                  41,            0.047574,             0.16318,           0.0070546,             0.43653,             0.59476,             0.53617,             0.25414,            0.045199,             0.11027,            0.016441,           0.0091406,           0.0091406,           0.0091406
                  42,            0.046658,              0.1598,            0.007148,             0.55296,             0.65692,             0.63166,              0.3115,            0.044376,             0.10563,            0.010933,           0.0090986,           0.0090986,           0.0090986
                  43,            0.048153,             0.16767,           0.0066875,              0.4543,             0.66612,             0.58175,              0.1866,            0.053158,             0.10623,            0.013177,           0.0090557,           0.0090557,           0.0090557
                  44,            0.046468,             0.15851,           0.0069875,             0.54321,             0.52502,             0.50211,             0.20228,            0.049898,             0.10983,            0.017541,           0.0090119,           0.0090119,           0.0090119
                  45,            0.047881,             0.16197,           0.0068077,             0.45034,              0.6786,             0.60472,             0.19868,            0.052136,             0.10687,            0.011603,           0.0089673,           0.0089673,           0.0089673
                  46,            0.046932,             0.16544,           0.0070963,             0.48842,             0.63585,             0.59453,             0.28044,            0.046894,              0.1053,            0.011615,           0.0089218,           0.0089218,           0.0089218
                  47,            0.046052,             0.15851,           0.0067577,             0.57724,             0.70884,             0.69137,             0.32386,             0.04607,             0.10415,           0.0085743,           0.0088755,           0.0088755,           0.0088755
                  48,            0.045904,             0.15885,           0.0065464,             0.51252,             0.70152,              0.6442,             0.32119,            0.043019,             0.10736,           0.0093807,           0.0088283,           0.0088283,           0.0088283
                  49,            0.045545,             0.15825,           0.0063648,             0.51546,             0.62807,             0.59412,             0.24264,            0.048731,             0.10904,            0.012367,           0.0087804,           0.0087804,           0.0087804
                  50,            0.045042,             0.16139,           0.0065924,             0.58129,             0.69039,             0.65774,             0.33713,            0.041824,             0.10599,            0.011016,           0.0087316,           0.0087316,           0.0087316
                  51,            0.044975,             0.16044,           0.0063847,             0.56176,             0.60523,             0.57122,             0.19317,            0.053627,             0.10856,            0.010065,            0.008682,            0.008682,            0.008682
                  52,            0.045507,              0.1535,            0.006543,             0.73794,             0.54816,             0.63528,             0.25117,             0.04911,             0.10903,            0.010072,           0.0086316,           0.0086316,           0.0086316
                  53,            0.045137,             0.15946,           0.0061769,             0.69183,             0.67145,             0.69062,             0.25463,            0.052645,              0.1041,           0.0091085,           0.0085805,           0.0085805,           0.0085805
                  54,            0.045007,             0.15443,           0.0062448,             0.58488,             0.67285,             0.65448,             0.29778,            0.045899,              0.1062,           0.0096696,           0.0085286,           0.0085286,           0.0085286
                  55,            0.044725,             0.15744,           0.0061866,             0.59641,             0.66533,             0.65795,               0.287,            0.047961,             0.10312,           0.0089975,           0.0084759,           0.0084759,           0.0084759
