               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049599,             0.16342,           0.0078269,             0.60444,             0.63269,              0.6214,              0.1818,            0.060167,             0.12366,           0.0077782,           0.0097011,           0.0097011,           0.0097011
                  37,            0.049777,             0.15724,           0.0078438,             0.66183,             0.63352,             0.65304,             0.25472,            0.053613,             0.12142,           0.0068167,            0.009684,            0.009684,            0.009684
                  38,            0.048794,             0.15503,           0.0075479,              0.5608,              0.6467,             0.63006,              0.2153,            0.051963,             0.13078,            0.011615,           0.0096664,           0.0096664,           0.0096664
                  39,            0.049163,             0.15929,           0.0076561,             0.55575,             0.52411,             0.54013,             0.15239,            0.066001,             0.12014,           0.0067733,           0.0096484,           0.0096484,           0.0096484
                  40,            0.048993,             0.16561,           0.0070986,             0.55058,              0.6277,             0.57532,             0.19165,            0.056707,             0.12324,           0.0067201,           0.0096299,           0.0096299,           0.0096299
                  41,            0.048806,             0.16043,           0.0074072,              0.6625,             0.65073,             0.66064,             0.30828,            0.051817,             0.11996,           0.0058501,            0.009611,            0.009611,            0.009611
                  42,            0.048071,             0.15449,           0.0070109,              0.5504,             0.66934,             0.63018,             0.20513,            0.053671,             0.12353,            0.011789,           0.0095916,           0.0095916,           0.0095916
                  43,             0.04791,             0.16402,           0.0072809,              0.7012,             0.71823,             0.77241,             0.30911,            0.050532,             0.12116,           0.0055814,           0.0095717,           0.0095717,           0.0095717
                  44,            0.046981,             0.15508,           0.0069028,             0.67541,             0.66514,             0.71758,             0.26866,            0.050602,             0.12475,           0.0084093,           0.0095514,           0.0095514,           0.0095514
                  45,            0.048204,             0.15545,           0.0069079,             0.65141,             0.69985,             0.70332,              0.2396,            0.055509,             0.11941,           0.0061798,           0.0095307,           0.0095307,           0.0095307
                  46,            0.047334,             0.15949,           0.0071622,             0.65542,             0.71465,             0.72195,             0.36141,            0.044317,             0.13173,           0.0077897,           0.0095095,           0.0095095,           0.0095095
                  47,            0.048064,             0.15538,           0.0066686,             0.56214,             0.66888,             0.61697,               0.291,            0.047229,             0.12867,           0.0098374,           0.0094879,           0.0094879,           0.0094879
                  48,            0.046346,             0.15471,           0.0068077,             0.58315,             0.70521,             0.65192,             0.26574,            0.053393,              0.1183,           0.0090396,           0.0094659,           0.0094659,           0.0094659
                  49,            0.046938,             0.16241,           0.0065427,              0.5478,             0.66925,             0.62367,             0.24369,            0.052269,             0.12486,            0.010864,           0.0094434,           0.0094434,           0.0094434
                  50,            0.048401,              0.1566,           0.0066607,             0.66601,             0.71523,             0.72667,             0.32592,            0.044953,              0.1191,            0.008131,           0.0094205,           0.0094205,           0.0094205
                  51,            0.046714,             0.15531,           0.0064528,             0.59749,             0.70468,             0.68184,                0.32,            0.051104,             0.11714,           0.0084186,           0.0093971,           0.0093971,           0.0093971
                  52,            0.045578,             0.15601,           0.0063347,             0.54688,             0.67611,             0.65331,             0.29566,            0.044153,             0.12701,            0.012852,           0.0093733,           0.0093733,           0.0093733
                  53,            0.045455,             0.15597,           0.0066268,             0.64213,              0.7047,                 0.7,             0.25295,            0.055162,             0.11761,           0.0057956,           0.0093491,           0.0093491,           0.0093491
