               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046346,             0.16564,           0.0069725,             0.63015,             0.57771,             0.64252,             0.32393,            0.041495,             0.10404,           0.0097202,           0.0093369,           0.0093369,           0.0093369
                  37,            0.046159,             0.15758,           0.0068853,             0.59739,             0.61332,             0.65348,             0.32127,            0.045893,               0.104,            0.010416,           0.0092995,           0.0092995,           0.0092995
                  38,            0.045414,             0.15739,           0.0066549,             0.74193,             0.65631,              0.7243,             0.33537,            0.045525,             0.10277,           0.0070445,           0.0092611,           0.0092611,           0.0092611
                  39,            0.045941,             0.15534,           0.0066441,             0.62977,             0.62849,              0.6692,             0.28652,            0.046436,             0.10538,           0.0077374,           0.0092219,           0.0092219,           0.0092219
                  40,            0.044306,              0.1625,            0.006801,             0.62338,             0.63052,             0.65202,             0.25587,            0.049619,             0.11038,           0.0073821,           0.0091817,           0.0091817,           0.0091817
                  41,            0.044401,             0.15629,           0.0066648,             0.58312,             0.71891,             0.70894,             0.41219,            0.039598,             0.10409,           0.0077191,           0.0091406,           0.0091406,           0.0091406
                  42,            0.043995,              0.1606,           0.0065604,             0.58254,             0.58541,             0.59348,             0.23423,            0.050015,              0.1047,           0.0084521,           0.0090986,           0.0090986,           0.0090986
                  43,            0.043867,              0.1544,           0.0064874,             0.60157,             0.64056,             0.63267,             0.35294,            0.037794,             0.10834,              0.0108,           0.0090557,           0.0090557,           0.0090557
                  44,            0.043587,             0.15812,           0.0064105,             0.53278,             0.71461,             0.68071,             0.31407,            0.045501,             0.10383,           0.0082029,           0.0090119,           0.0090119,           0.0090119
                  45,            0.044385,             0.15332,           0.0063931,             0.57714,             0.67772,             0.67099,             0.27705,            0.048131,             0.10408,           0.0079353,           0.0089673,           0.0089673,           0.0089673
                  46,            0.042265,             0.14823,           0.0064014,             0.55332,             0.64072,             0.61339,             0.32476,            0.040284,             0.10686,            0.010258,           0.0089218,           0.0089218,           0.0089218
                  47,            0.042452,              0.1543,           0.0062538,             0.57998,             0.73333,             0.71825,             0.33747,            0.044491,             0.10482,           0.0063519,           0.0088755,           0.0088755,           0.0088755
                  48,            0.042037,             0.15209,           0.0065089,             0.50815,             0.51002,             0.49022,             0.26322,            0.038925,             0.11849,            0.014931,           0.0088283,           0.0088283,           0.0088283
                  49,             0.04215,             0.15089,           0.0061685,             0.71974,             0.59888,              0.6916,             0.32918,            0.046374,             0.10036,           0.0063923,           0.0087804,           0.0087804,           0.0087804
                  50,            0.041987,             0.15474,           0.0059311,             0.58419,             0.67978,             0.69756,             0.37376,            0.039979,             0.10817,           0.0054335,           0.0087316,           0.0087316,           0.0087316
                  51,            0.041587,             0.14814,           0.0056769,             0.68453,             0.59678,             0.66033,             0.28997,            0.048663,             0.10385,           0.0081335,            0.008682,            0.008682,            0.008682
                  52,            0.041559,              0.1536,           0.0058092,             0.66956,             0.62106,             0.66727,             0.28685,            0.044787,             0.10523,           0.0082762,           0.0086316,           0.0086316,           0.0086316
                  53,            0.041961,             0.15016,           0.0059651,              0.6207,             0.70895,             0.70584,              0.3615,            0.039767,             0.10651,           0.0056217,           0.0085805,           0.0085805,           0.0085805
                  54,            0.041169,              0.1515,           0.0057529,             0.61071,             0.70412,             0.70882,              0.3658,            0.044565,              0.1054,           0.0067998,           0.0085286,           0.0085286,           0.0085286
                  55,            0.040785,             0.14679,           0.0057789,             0.66325,             0.68381,             0.73051,             0.34853,            0.043724,             0.10347,            0.006954,           0.0084759,           0.0084759,           0.0084759
                  56,            0.040669,             0.15302,           0.0056428,             0.54054,             0.59707,             0.56886,             0.29272,            0.040082,             0.10744,            0.013063,           0.0084225,           0.0084225,           0.0084225
                  57,            0.040331,             0.14374,           0.0055702,             0.70226,             0.57664,             0.66439,             0.34392,            0.040564,             0.10764,           0.0077313,           0.0083684,           0.0083684,           0.0083684
                  58,            0.039734,             0.14763,           0.0058107,             0.66062,             0.65964,             0.71079,             0.37905,            0.040355,             0.10568,           0.0078831,           0.0083136,           0.0083136,           0.0083136
                  59,            0.040121,             0.14402,           0.0056271,             0.66329,             0.66104,             0.70808,             0.33572,            0.042324,             0.10307,           0.0074432,           0.0082581,           0.0082581,           0.0082581
                  60,            0.041227,             0.14759,           0.0055288,             0.62081,             0.71505,             0.71976,             0.34374,            0.043347,             0.10198,           0.0065978,           0.0082019,           0.0082019,           0.0082019
                  61,            0.039533,              0.1457,           0.0056932,             0.60986,             0.69846,             0.70243,               0.402,            0.037414,              0.1027,           0.0071922,            0.008145,            0.008145,            0.008145
                  62,            0.038743,             0.14094,            0.005509,             0.61417,             0.67444,             0.68977,             0.32629,            0.040815,             0.10974,           0.0087252,           0.0080875,           0.0080875,           0.0080875
                  63,            0.039317,             0.15058,           0.0052626,             0.69797,             0.67073,             0.71255,             0.36279,            0.040136,             0.10503,           0.0071323,           0.0080294,           0.0080294,           0.0080294
                  64,            0.038851,             0.14729,           0.0053675,             0.59752,             0.62621,             0.63669,             0.33575,            0.039026,              0.1078,            0.010088,           0.0079706,           0.0079706,           0.0079706
                  65,            0.038666,              0.1447,           0.0054231,             0.61278,             0.67755,             0.69098,              0.3265,             0.04348,             0.10783,           0.0067069,           0.0079112,           0.0079112,           0.0079112
                  66,            0.038336,             0.14464,            0.005226,             0.42524,             0.66141,             0.58364,             0.32413,            0.037829,             0.11576,            0.014225,           0.0078512,           0.0078512,           0.0078512
                  67,            0.038677,             0.14496,            0.005365,              0.6477,             0.64749,             0.67877,             0.35175,            0.038609,             0.10467,            0.008097,           0.0077907,           0.0077907,           0.0077907
                  68,             0.03952,             0.14571,           0.0052235,             0.63607,              0.7017,             0.71336,             0.37102,            0.040533,              0.1052,           0.0064697,           0.0077296,           0.0077296,           0.0077296
                  69,            0.038143,             0.14658,           0.0051336,               0.608,             0.69135,             0.70396,             0.35262,            0.040389,             0.11108,           0.0075809,           0.0076679,           0.0076679,           0.0076679
                  70,            0.038779,             0.14337,           0.0052426,             0.67412,             0.70751,             0.75695,             0.32332,             0.04603,             0.10506,           0.0054288,           0.0076057,           0.0076057,           0.0076057
                  71,            0.037721,             0.14053,           0.0051186,             0.67316,             0.66841,             0.71028,             0.36151,            0.039635,             0.10279,           0.0060313,            0.007543,            0.007543,            0.007543
                  72,            0.038108,              0.1444,           0.0052383,             0.65731,             0.70271,              0.7376,             0.37843,            0.039211,             0.10205,           0.0057852,           0.0074797,           0.0074797,           0.0074797
                  73,            0.038054,             0.14599,           0.0053193,              0.6553,             0.66988,             0.70992,             0.35751,            0.041798,             0.10662,           0.0078183,            0.007416,            0.007416,            0.007416
                  74,            0.037821,             0.13732,           0.0050037,             0.59855,             0.62397,             0.65357,             0.36467,            0.039223,              0.1115,            0.011557,           0.0073518,           0.0073518,           0.0073518
                  75,            0.037425,             0.14233,           0.0048999,             0.57569,             0.69668,             0.65572,             0.33362,            0.040159,             0.10656,           0.0099135,           0.0072872,           0.0072872,           0.0072872
                  76,            0.037107,             0.14073,           0.0049533,             0.55563,             0.66555,             0.66295,             0.34254,            0.041951,             0.11151,           0.0093728,           0.0072221,           0.0072221,           0.0072221
                  77,            0.037271,             0.13813,           0.0051824,             0.69758,             0.64863,               0.733,             0.38254,            0.041359,             0.10899,           0.0066547,           0.0071566,           0.0071566,           0.0071566
                  78,            0.036932,             0.13864,           0.0049568,             0.60709,              0.6909,             0.69919,             0.36451,            0.038955,             0.10775,           0.0089073,           0.0070906,           0.0070906,           0.0070906
                  79,             0.03715,             0.14073,           0.0049705,             0.70094,             0.67692,             0.73394,             0.38248,            0.041102,             0.10773,           0.0082458,           0.0070243,           0.0070243,           0.0070243
                  80,            0.036786,             0.13571,           0.0049075,             0.66452,             0.65652,             0.71709,             0.34599,             0.04268,              0.1067,           0.0074554,           0.0069576,           0.0069576,           0.0069576
                  81,            0.036765,             0.13883,           0.0046025,             0.62829,             0.73786,             0.73705,             0.37928,            0.040074,             0.10474,           0.0066712,           0.0068906,           0.0068906,           0.0068906
                  82,            0.036912,             0.13751,           0.0046501,              0.6839,             0.64177,             0.66142,             0.31196,            0.042395,             0.10993,            0.011274,           0.0068232,           0.0068232,           0.0068232
                  83,            0.036389,             0.13781,           0.0048611,              0.5736,             0.71255,             0.70385,             0.35574,            0.042152,             0.11628,           0.0086962,           0.0067555,           0.0067555,           0.0067555
                  84,            0.035874,             0.13751,           0.0047405,             0.59019,             0.71608,             0.70825,              0.4026,            0.037017,             0.10743,           0.0084065,           0.0066874,           0.0066874,           0.0066874
                  85,            0.036365,             0.13946,           0.0045478,              0.6382,             0.70746,             0.73491,             0.38055,            0.042416,             0.10388,           0.0064689,           0.0066191,           0.0066191,           0.0066191
                  86,            0.035777,             0.13653,           0.0046531,             0.63158,             0.66629,             0.68836,              0.3853,            0.037341,             0.11101,           0.0092583,           0.0065505,           0.0065505,           0.0065505
                  87,            0.036134,             0.13558,           0.0045978,             0.63279,             0.63984,             0.66218,             0.34853,            0.039686,             0.10889,            0.010146,           0.0064816,           0.0064816,           0.0064816
                  88,            0.036242,             0.13533,           0.0045374,             0.57821,             0.67139,             0.67157,             0.31876,            0.044123,             0.11585,           0.0097002,           0.0064125,           0.0064125,           0.0064125
