               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.045897,             0.15871,           0.0073831,              0.7071,             0.72467,               0.749,             0.34309,            0.046139,             0.12026,           0.0068221,           0.0097011,           0.0097011,           0.0097011
                  37,            0.047889,             0.15151,           0.0073746,             0.70955,             0.71858,             0.76549,             0.39315,            0.040822,             0.11999,           0.0070393,            0.009684,            0.009684,            0.009684
                  38,            0.045412,             0.15249,           0.0072082,             0.70515,             0.75493,             0.79828,             0.47624,            0.037166,             0.12081,           0.0066012,           0.0096664,           0.0096664,           0.0096664
                  39,            0.045479,             0.15289,            0.007049,             0.57248,             0.63602,              0.6078,              0.2967,            0.048438,             0.12645,            0.010954,           0.0096484,           0.0096484,           0.0096484
                  40,            0.045083,             0.15196,           0.0067496,             0.67957,             0.70888,             0.73946,             0.41367,            0.037905,             0.12232,           0.0083506,           0.0096299,           0.0096299,           0.0096299
                  41,            0.045437,             0.15245,           0.0067327,             0.62077,             0.71257,              0.7054,             0.40026,            0.036733,             0.11902,            0.011179,            0.009611,            0.009611,            0.009611
                  42,            0.044807,             0.15257,           0.0065699,             0.48764,             0.65875,             0.60491,             0.22042,            0.051341,             0.13092,            0.012108,           0.0095916,           0.0095916,           0.0095916
                  43,            0.043719,             0.15244,            0.006513,             0.64439,             0.75819,             0.76958,             0.43778,            0.037023,             0.11888,           0.0084762,           0.0095717,           0.0095717,           0.0095717
                  44,            0.043289,             0.15912,           0.0066868,             0.65648,              0.6991,             0.71217,             0.33142,             0.04138,             0.12487,           0.0092775,           0.0095514,           0.0095514,           0.0095514
                  45,            0.043278,             0.15164,           0.0065468,             0.63523,             0.71994,             0.72737,             0.37416,             0.04106,             0.12302,           0.0096073,           0.0095307,           0.0095307,           0.0095307
                  46,            0.043855,             0.15055,           0.0064784,             0.68604,             0.72479,             0.75835,             0.37654,            0.043383,             0.11589,           0.0075051,           0.0095095,           0.0095095,           0.0095095
                  47,            0.043015,             0.14807,           0.0062997,             0.61436,             0.68663,             0.68223,             0.29798,            0.051225,             0.11927,           0.0094166,           0.0094879,           0.0094879,           0.0094879
                  48,            0.043576,             0.14451,           0.0060923,             0.71016,              0.6782,             0.74016,             0.43702,            0.035654,             0.12054,           0.0098569,           0.0094659,           0.0094659,           0.0094659
                  49,            0.041228,             0.15348,           0.0058365,             0.70687,             0.68796,              0.7344,             0.43869,            0.035047,             0.11693,            0.010204,           0.0094434,           0.0094434,           0.0094434
                  50,            0.041894,             0.14676,           0.0058746,             0.74434,             0.72615,             0.78079,             0.44524,            0.040044,             0.12073,           0.0068318,           0.0094205,           0.0094205,           0.0094205
                  51,             0.04237,             0.14558,           0.0062202,              0.6646,             0.76535,             0.79696,              0.4411,            0.040249,             0.11841,            0.006215,           0.0093971,           0.0093971,           0.0093971
                  52,            0.041731,             0.14686,           0.0062243,             0.61094,             0.66634,             0.67639,             0.39255,            0.037153,             0.12483,            0.012563,           0.0093733,           0.0093733,           0.0093733
                  53,            0.041381,             0.14409,           0.0059915,             0.69519,             0.68469,             0.73496,             0.31913,            0.048154,             0.11979,           0.0075461,           0.0093491,           0.0093491,           0.0093491
